"Title","Authors","Year","Abstract","Link","Cited_By","Top_Domains","Top_Methodologies","Top_Techniques"
"A DNN approach to design a smart security system for android platform","Sahu D.; Tripathy S.N.; Kapat S.K.; Morty S.","2023","Malware is an extensive threat to all computing devices and involves a massive loss for end-users and corporations. This chapter gives a fundamental idea about Android malware types, the intrusion techniques used by malware, the inbuilt security models provided by Android, and the combating techniques used by malware writers to bypass anti-virus detection. Several machine and deep learning approaches have been proposed so far in the Android malware detection field, but most of them have relied o...","10.4018/979-8-3693-1186-8.ch001","0","","",""
"FITS: Inferring Intermediate Taint Sources for Effective Vulnerability Analysis of IoT Device Firmware","Liu P.; Zheng Y.; Sun C.; Qin C.; Fang D.; Liu M.; Sun L.","2023","Finding vulnerabilities in firmware is vital as any firmware vulnerability may lead to cyberattacks to the physical IoT devices. Taint analysis is one promising technique for finding firmware vulnerabilities thanks to its high coverage and scalability. However, sizable closed-source firmware makes it extremely difficult to analyze the complete data-flow paths from taint sources (i.e., interface library functions such as recv) to sinks. We observe that certain custom functions in binaries can be ...","10.1145/3623278.3624759","10","","","Behavioral Clustering; Debugging; Taint Analysis"
"BejaGNN: behavior-based Java malware detection via graph neural network","Feng P.; Yang L.; Lu D.; Xi N.; Ma J.","2023","As a popular platform-independent language, Java is widely used in enterprise applications. In the past few years, language vulnerabilities exploited by Java malware have become increasingly prevalent, which cause threats for multi-platform. Security researchers continuously propose various approaches for fighting against Java malware programs. The low code path coverage and poor execution efficiency of dynamic analysis limit the large-scale application of dynamic Java malware detection methods....","10.1007/s11227-023-05243-x","6","","","Stack Analysis; Graph Neural Networks; Static Analysis; Dynamic Analysis"
"Covering Arrays ML HPO for Static Malware Detection","ALGorain F.T.; Clark J.A.","2023","Malware classification is a well-known problem in computer security. Hyper-parameter optimisation (HPO) using covering arrays (CAs) is a novel approach that can enhance machine learning classifier accuracy. The tuning of machine learning (ML) classifiers to increase classification accuracy is needed nowadays, especially with newly evolving malware. Four machine learning techniques were tuned using cAgen, a tool for generating covering arrays. The results show that cAgen is an efficient approach ...","10.3390/eng4010032","3","Deep Learning Techniques","","Malware Classification; Active Learning; Hyperparameter Optimization; Pruning Techniques"
"RealMalSol: real-time optimized model for Android malware detection using efficient neural networks and model quantization","Chaudhary M.; Masood A.","2023","Android is currently the most dominant platform in the market in comparison with all other operating systems (OS) such as iOS, Windows, and Blackberry. As the scope of Android value-added applications has grown, so also the increased risk of exploitation; thus, highlighting the dire need to protect user’s privacy and data through malware detection and prevention. Among the two options—static and dynamic android malware detection, static has the inherent advantages of being fast and the first lin...","10.1007/s00521-023-08303-8","17","Statistical Analysis","","Statistical Analysis"
"Detection of Android Malware in the Internet of Things through the K-Nearest Neighbor Algorithm","Babbar H.; Rani S.; Sah D.K.; AlQahtani S.A.; Kashif Bashir A.","2023","Predicting attacks in Android malware devices using machine learning for recommender systems-based IoT can be a challenging task. However, it is possible to use various machine-learning techniques to achieve this goal. An internet-based framework is used to predict and recommend Android malware on IoT devices. As the prevalence of Android devices grows, the malware creates new viruses on a regular basis, posing a threat to the central system’s security and the privacy of the users. The suggested...","10.3390/s23167256","17","","","Stack Analysis; Active Learning; Static Analysis; K-Nearest Neighbors; IRC Analysis"
"COMPARATIVE STUDY FOR ANDRIOD MOBILE STATIC ANALYSIS ALGORITHMS","Shehata S.M.; Hegazy I.; El-Horbaty E.-S.M.","2023","Recently, there has been a rapid increase in the use of smartphones, several of which are connected to the internet. Because of the data movement, malware attacks have enormously increased. Malware causes unexpected behavior in smartphones such as strange charges on your phone bill, invasive adverts, contacts receiving strange messages, poor performance, appearance of new applications, abnormal data consumption and noticeable reduction in battery life. Nonetheless, smartphone users remain unprot...","","1","Mobile Security","","Static Analysis; Logistic Regression; K-Nearest Neighbors; IRC Analysis"
"A system call-based android malware detection approach with homogeneous & heterogeneous ensemble machine learning","Bhat P.; Behal S.; Dutta K.","2023","The enormous popularity of Android in the smartphone market has gained the attention of malicious actors as well. Also, considering its open system architecture, malicious attacks don't seem to wane anytime soon. Cybercriminals use deceptive attack strategies like obfuscation or dynamic code loading to evade the system. A conventional static analysis approach fails to identify such attacks. Mitigating a wide range of evasive attacks requires excogitating savvy dynamic analysis framework. This pa...","10.1016/j.cose.2023.103277","59","","","Static Analysis; Dynamic Analysis; Homogeneous Ensemble; Behavioral Analysis; Heterogeneous Ensemble"
"Machine learning and deep learning techniques for detecting malicious android applications: An empirical analysis","Bhat P.; Behal S.; Dutta K.","2023","The open system architecture of android makes it vulnerable to a variety of cyberattacks. Cybercriminals use android applications to intrude into the system and steal confidential data. This situation poses a threat to user privacy and integrity of the system. This paper proposes a static analysis approach to detect malicious and benign Android applications using various machine learning and deep learning algorithms. The proposed work has been validated using a bench marked dataset comprising 11...","10.1007/s43538-023-00182-w","3","Deep Learning Techniques","","Stack Analysis; Active Learning; Static Analysis; IRC Analysis; Pruning Techniques"
"A Blockchain Based Virtual Machine Detection System App Market","Karthikeyan Palaniappan; Anantha Krishna V.; Ramasubramanian M.; Rathish Babu T.K.S.","2023","Smartphone malware's rapid development suggests malicious programme developers moving from standard PC systems to smart phone computers. Technology experts are now also developing new methods of anti-malware for adequate security. For the identification of smart phone dangerous applications, this study proposes a Blockchain-based malware mitigation framework (B2MDF) (app stores). For the ultimate judgement, the system combines two internal and external proprietary block chains to establish a pri...","10.1063/5.0110254","1","Mobile Security; API Development","","Virtual Machine Detection"
"Android Malware Detection Based on Static Analysis and Data Mining Techniques: A Systematic Literature Review","Rathore H.; Chari S.; Verma N.; Sahay S.K.; Sewak M.","2023","Android applications are proliferating, which has led to the rise of android malware. Many research studies have proposed various detection frameworks for android malware detection. Literature suggests that static malware detection techniques are practical and assuring for detecting android malware. This paper presents a thorough survey of data mining-based static malware detection. We briefly discuss the growth of android malware and current detection techniques and offer a comprehensive analys...","10.1007/978-3-031-40467-2_4","5","","","Stack Analysis; Feature Extraction; Static Analysis; IRC Analysis; Taint Analysis"
"Malware Classification in Local System Executable Files Using Deep Learning","Krishna P.G.; Kranthi S.; Krishna A.V.","2023","One of the biggest and most severe risks on the Internet today is malicious software, generally known as malware. Attackers are producing malware that has the ability to change its source code as it spreads and is polymorphic and metamorphic. Furthermore, the variety and quantity of their variants seriously compromise the effectiveness of current defences, which frequently rely on signature-based techniques and are unable to identify malicious executables that have not yet been detected. Variant...","10.1007/978-981-99-1767-9_11","0","Deep Learning Techniques","","Malware Classification; Dynamic Analysis"
"Vertical Federated Learning in Malware Detection for Smart Cities","Serpanos D.; Xenos G.","2023","Malware detection is fundamental to smart city cyberphysical systems, considering their requirements for safety which is dependent on their security. Malware detection systems extract features from software samples through static and/or dynamic analysis and classify them as malware or benign, based on the features. Modern malware detection systems employ Deep Neural Networks (DNNs) whose accuracy increases as more data are analyzed and exploited. However, data sharing among organizations, even f...","10.1109/ISC257844.2023.10293429","4","","","Dynamic Analysis; Federated Learning"
"Deep Learning in Malware Identification and Classification","Hingmire A.; Bhatele P.; Mante J.; Sinha S.; Jadhav S.; Shimpi P.; Pujeri U.","2023","As the malware industry enlarges, more and more people all over the world are trying to find vulnerabilities in software and system configurations. Due to the increasing volume and complexity of malware, identification and classification of its different variants becomes an essential task which needs to be addressed. The development of machine learning solutions in the detection of malware has progressed toward deep learning strategies. This chapter highlights methods of malware analysis by appl...","10.1201/9781003408307-12","0","Deep Learning Techniques","","Malware Classification; Convolutional Neural Networks; Pruning Techniques"
"Fast and Efficient Malware Detection with Joint Static and Dynamic Features Through Transfer Learning","Ngo M.V.; Truong-Huu T.; Rabadi D.; Loo J.Y.; Teo S.G.","2023","In malware detection, dynamic analysis extracts the runtime behavior of malware samples in a controlled environment and static analysis extracts features using reverse engineering tools. While the former faces the challenges of anti-virtualization and evasive behavior of malware samples, the latter faces the challenges of code obfuscation. To tackle these drawbacks, prior works proposed to develop detection models by aggregating dynamic and static features, thus leveraging the advantages of both...","10.1007/978-3-031-33488-7_19","11","","","Adware Analysis; Static Analysis; Worm Analysis; Transfer Learning; Dynamic Analysis"
"A Hybrid Attention Network for Malware Detection Based on Multi-Feature Aligned and Fusion","Yang X.; Yang D.; Li Y.","2023","With the widespread use of computers, the amount of malware has increased exponentially. Since dynamic detection is costly in both time and resources, most existing malware detection methods are based on static features. However, existing static methods mainly rely on single feature types of malware, while few pay attention to multi-feature fusion. This paper presents a novel multi-feature extraction and fusion method to effectively detect malware variants by combining binary and opcode features...","10.3390/electronics12030713","9","","","Malware Classification; Stack Analysis; Feature Extraction; Static Analysis; IRC Analysis"
"CAGDEEP: Mobile Malware Analysis Using Force Atlas 2 with Strong Gravity Call Graph and Deep Learning","Kamarudin N.K.; Firdaus A.; Zabidi A.; Ab Razak M.F.","2023","Today many smart devices are running on Android systems. With the increasing popularity of Android, mobile malware continuously evolves as well, and further attacks Android operating systems. To address these shortcoming issues many security experts use different approaches to detect malware based on various static features. However, by considering only the statistical features, the potential semantic information such as the behavioral feature of the code is overlooked. To leverage the existing ...","10.1109/ICSECS58457.2023.10256350","0","","","Adware Analysis; Static Analysis; Convolutional Neural Networks; Worm Analysis"
"Towards a fair comparison and realistic evaluation framework of android malware detectors based on static analysis and machine learning","Molina-Coronado B.; Mori U.; Mendiburu A.; Miguel-Alonso J.","2023","As in other cybersecurity areas, machine learning (ML) techniques have emerged as a promising solution to detect Android malware. In this sense, many proposals employing a variety of algorithms and feature sets have been presented to date, often reporting impresive detection performances. However, the lack of reproducibility and the absence of a standard evaluation framework make these proposals difficult to compare. In this paper, we perform an analysis of 10 influential research works on Andro...","10.1016/j.cose.2022.102996","29","Mobile Security; Machine Learning Domain","","Stack Analysis; Active Learning; Static Analysis; IRC Analysis; Taint Analysis"
"Android Malware Classification Addressing Repackaged Entities by the Evaluation of Static Features and Multiple Machine Learning Algorithms","Hasan M.R.","2023","Expanded usage and prevalence of android apps allows developers of malware to create new ways in various applications to unleash malware in various packaged types. This malware causes various leakage of information and a loss of revenue. In addition, the discovered software is repeatedly launched by unethical developers after classifying the program as malware. Unluckily, the program still remains undetected even after being repackaged. In this research, the topic of repackaging was discussed, e...","10.1007/978-981-19-1610-6_3","0","","","Malware Classification; Active Learning"
"Analysis and Detection of PWS Malware","Blažek J.; Křoustek J.; Dzurenda P.","2023","Cyberdefense became important, especially during the last decade. The rapid growth of information technologies caused a significant increase in cyber attacks and threats on the Internet. Malware analysis forms a critical component of cyberdefense mechanisms. In this article, we study the issue of malicious code and its various types, with a specific focus on the type known as PassWord Stealers (PWS). To do so, we deployed several methods of analyzing binary executable code, such as static and dy...","10.13164/eeict.2023.69","0","","","Static Analysis; Worm Analysis; Dynamic Analysis; Reverse Engineering; Sandboxing"
"Malware Detection in PE files using Machine Learning","Tyagi S.; Baghela A.; Dar K.M.; Patel A.; Kothari S.; Bhosale S.","2023","Malware has become one of the most challenging threats to the computer domain. Malware is malicious code mainly used to gain access and collect confidential information without permission. The internet coverage has boomed a lot in today's time leading to people downloading various files and installing executable files like.exe,.bat, and.msi files. This leads to many complications as these files are the vector for malicious code. Through this paper, we present a technique to detect executable fil...","10.1109/OTCON56053.2023.10113998","4","","","Adware Analysis; Static Analysis; Worm Analysis"
"DockerWatch: a two-phase hybrid detection of malware using various static features in container cloud","Wang Y.; Wang Q.; Qin X.; Chen X.; Xin B.; Yang R.","2023","As an emerging virtualization technology, the Linux container provides a more lightweight, flexible, and high-performance operating-system-level virtual run-time environment. Its appearance has profoundly changed the development and deployment of multi-tier distributed applications. However, the imperfect system resource isolation features and the kernel-sharing mechanism will introduce significant security risks to the cloud platform. In this paper, we present DockerWatch, a real-time detection...","10.1007/s00500-022-07546-2","7","High Performance Computing","","Stack Analysis; Static Analysis; IRC Analysis; Taint Analysis"
"Federated Learning and its Application in Malware Detection","Bhagwat S.; Gupta G.P.","2023","In last few years, we have seen a rapid increase in Android malware. Cyber-crimes have increased in which the main weapon for attack is malware, and the medium used to execute the malware attack is the Internet. On mobile systems, malware can enter through mail, Web sites, or applications downloaded from the Internet. There are different types of malware, including adware and spyware as well as the worm, Trojan, virus, rootkit, backdoor, ransomware, and browser hijacker. Static and dynamic techn...","10.1201/9781003264545-5","0","","","Federated Learning"
"A Review of Static Detection Methods for Android Malicious Application; [Android 恶意应用的静态检测方法综述]","Pan J.; Cui Z.; Lin G.; Chen X.; Zheng L.","2023","Due to the openness of the Android system and the diversity of the third-party application markets, Android system has achieved a high market share while brought huge risks. As a result, Android malware emerge endlessly and spread widely, which seriously threaten users’ privacy and economic security. How to effectively detect Android malware has been widely concerned by researchers. According to whether the application is executed or not, the existing malware detection methods are divided into s...","10.7544/issn1000-1239.202220297","1","","",""
"A Survey off Malware Forensics Analysis Techniques and Tools","Al-Sofyani S.; Alelayani A.; Al-Zahrani F.; Monshi R.","2023","With technological progress, the risk factor resulting from malware is increasing dramatically. In this paper, we present the most prominent techniques and tools used in malware forensics to combat this threat. The malware designed by attackers is multiform and has the potential to spread and harm the global economy and corporate assets every day. Thus, there is an urgent need to analyze and detect malware before important assets worldwide are damaged. In this study, we discuss various technique...","10.1109/ICAISC56366.2023.10085474","4","","","IRC Analysis"
"A novel approach for detection of APT malware using multi-dimensional hybrid Bayesian belief network","Sharma A.; Gupta B.B.; Singh A.K.; Saraswat V.K.","2023","Due to the continuous evolution of adversary tactics, strategies, and processes, the contemporary digital universe is confronted with new obstacles in defending digital assets ranging from secret information to essential infrastructure. The advanced persistent threat (APT) is a new attack methodology used by modern adversaries in which the attacker employs sophisticated and highly evasive exploits and payloads to achieve long-term persistence and lateral movement to accomplish objectives such as...","10.1007/s10207-022-00631-5","23","","","Static Analysis; Dynamic Analysis"
"A Wolf in Sheep's Clothing: Query-Free Evasion Attacks Against Machine Learning-Based Malware Detectors with Generative Adversarial Networks","Gibert D.; Planes J.; Le Q.; Zizzo G.","2023","Malware detectors based on machine learning (ML) have been shown to be susceptible to adversarial malware examples. However, current methods to generate adversarial malware examples still have their limits. They either rely on detailed model information (gradient-based attacks), or on detailed outputs of the model - such as class probabilities (score-based attacks), neither of which are available in real-world scenarios. Alternatively, adversarial examples might be crafted using only the label a...","10.1109/EuroSPW59978.2023.00052","11","","","Active Learning; Adversarial Examples; Generative Adversarial Networks; Byte Histogram; Reinforcement Learning"
"A novel Android malware detection system: adaption of filter-based feature selection methods","Şahin D.Ö.; Kural O.E.; Akleylek S.; Kılıç E.","2023","Android is the most preferred mobile operating system in the world. Applications are available from both official application repositories and other application stores. For these reasons, there has been a remarkable increase in malware for the Android operating system in recent years. In this study, a novel Android malware detection system is proposed by using filter-based feature selection methods. The proposed approach is static Android malware detection based on machine learning. Permissions ...","10.1007/s12652-021-03376-6","19","","","Stack Analysis; Static Analysis; IRC Analysis; Taint Analysis"
"Comparative Study of Detection and Analysis of Different Malware with the Help of Different Algorithm","Selvaraj P.A.; Jagadeesan M.; Saravanan T.M.; Kumar A.; Kumar A.; Singh M.K.","2023","The motive of this paper is to detect the malware from computer systems in order to protect the confidential data, information, documents etc. from being accessing. The detection of malware is necessary because it steals the data from that system which is affected by malware. There are different malware detection techniques (cloud-based, signature-based, Iot-based, heuristic based etc.) and different malware detection tools (static, dynamic) area used in this paper to detect new generation malwa...","10.1109/ICCCI56745.2023.10128452","0","","",""
"Obfuscated Malware detection using Machine Learning models","Balasubramanian K.M.; Vasudevan S.V.; Thangavel S.K.; Gireesh Kumar T.; Srinivasan K.; Tibrewal A.; Vajipayajula S.","2023","The number of malware attacks has been growing at an alarming rate especially in the recent years. Cyber criminals equip themselves with the latest technologies and discover new methods of attack every day. Therefore, researchers have paid a lot of attention to malware detection in order to lower malware threats. Static analysis or behaviour analysis are used in majority of the investigative experiments. New studies indicate that modern malware files employ diverse techniques to evade detection ...","10.1109/ICCCNT56998.2023.10307598","10","","","Virus Analysis; Static Analysis; Feature Engineering"
"A SIEM and Multiple Analysis Software Integrated Malware Detection Approach","Sim D.; Guo H.; Zhou L.","2023","The organization's IT systems, especially IT and OT combined systems have a large surface exposed to sophisticated cyber-attacks, such as Advanced Persistent Threats (APT) and malware variants. To defend against those cyber attackers, Security Information and Event Management (SIEM) technologies could be leveraged. SIEM is a security solution that helps organizations recognize potential security threats and vulnerabilities, detects user behaviour anomalies, and provides an incident response. How...","10.1109/SOLI60636.2023.10425463","1","Incident Response","",""
"Twitter Data Analysis to Enhance Malware Detection Using ML","Singh A.; Sai Ganesh N.; Vamsidhar Reddy G.; Vishal Chandra A.; Harshith Varma A.; Divya Udayan J.","2023","In current times, we have seen an escalation of cellular or apps, consisting of useful, congenial apps, and additionally malicious apps (or malware). Detecting fraudulent applications is a challenging but critical task, as malicious apps may cause significant damage and financial losses to their users. The majority of strategies for detecting malware rely on characteristics acquired from the apps’ code via static or dynamic analysis. Much zero-day malware software, on the other hand, avoids such...","10.1007/978-981-19-6088-8_40","0","Data Visualization","","Dynamic Analysis"
"Analysing the Malware by using Checksum and Signature-Based Detection Techniques","Reddy M.M.; Raghava S.; Tarun N.N.; Reddy S.C.; Rao G.R.; Chandra J.V.","2023","Malware has become an increasingly widespread security hazard to the internet in today's society. Malware is any harmful program that is designed to cause harm to the user. Malware analysis is critical for detecting, comprehending, and limiting the impacts of harmful software. It uses software and designs to attack weaknesses in computer systems, steal important information, and harm the system or network. It informs us about the features of malware such as viruses, worms, Trojans, and so on. Dy...","","0","","","Static Analysis; Signature-based Detection; Dynamic Analysis; Edge Detection"
"Android Malware Detection in IoT Mobile Devices using a Meta-ensemble Classifier","Davrazos G.; Panagiotakopoulos T.; Kotsiantis S.; Kameas A.","2023","Android malware is considered to be an issue that prevents wide implementation of Internet of Things. Malware detection for Android devices follow different methodologies. One of the most common due to its efficacy is static feature analysis using machine learning techniques. This paper applies a set of machine learning classification models and a soft voting meta ensemble to an open online dataset called Drebin. Our study reveals that the random forests outperformed all other classifiers, while...","10.1109/IISA59645.2023.10345858","3","Deep Learning Techniques","","Machine Learning Classification; Pruning Techniques"
"Three-Layered Hybrid Analysis Technique for Android Malware Detection","Sharma T.; Rattan D.","2023","In these days, smartphones become an essential gadget that can perform multiple routine activities like banking, education, entertainment, etc. A large number of companies are developing new smartphones with latest tools and technologies to attract the people. But data security is one of the main issues which is still a hurdle for all because as the technology is growing malware authors are also developing new malwares to attack these mobile devices to show their existence and sometimes for mone...","10.1007/978-981-99-3656-4_31","1","","","Static Analysis"
"Exploration of Malicious Applications on Digital Invitations with Static Analysis Method Using ImmuniWeb","Wirdani I.Y.; Harjanto I.D.; Lim C.; Ardyani M.W.","2023","In this study, we employed ImmuniWeb for a comprehensive static analysis of an apparently malicious digital wedding invitation application named 'undangan_pernikahan.apk.' Our investigation was motivated by the objectives of detecting potential indicators of malware presence, evaluating the potential repercussions of malware assaults, and furnishing practical suggestions for mitigating the associated threats for end users. The focal point of our scrutiny encompassed outlining security and privac...","10.1109/ICoCICs58778.2023.10277615","2","","","Stack Analysis; Static Analysis; IRC Analysis; Taint Analysis"
"Malware Analysis Using Machine Learning and Deep Learning","Gupta R.; Kumar P.; Rani S.; Gupta A.; Kommuru A.R.","2023","Malware is a severe danger to everyone from home users to huge corporations. As a result, it's a popular research topic. Malware fingerprints and activity patterns are analyzed both statically and dynamically to detect it. Analysis of malware on a daily basis by humans is a tedious task and still we are not ready for zero-day attack malware. Many machine learning methods are currently being utilized to find and analyze malware. The detection and classification accuracy varies based on algorithm ...","10.1109/ICTACS59847.2023.10390509","0","","","Active Learning; Adware Analysis; Worm Analysis; Blending Methods; Dynamic Analysis"
"Machine Learning Approach for Malware Detection and Classification Using Malware Analysis Framework","Kumar D.A.; Das S.K.","2023","The world's digitalization is currently being threatened by the daily appearance of new and complicated viruses. As a result, the conventional signature-based approaches for malware detection are practically rendered useless. Modern research studies have demonstrated the effectiveness of machine-learning algorithms in terms of malware identification. In this study, we suggested a system to identify and categorize various files (such as exe, pdf, PHP, etc.), and API calls as benign and harmful ut...","","9","","","Malware Classification; Active Learning; Adware Analysis; Worm Analysis; Dynamic Analysis"
"Detecting and Analyzing Malware Using Machine Learning Classifiers","Dhingra V.; Singh J.; Kaur P.","2023","Nowadays, the security of systems is one of the prime focuses of any organization. Malware detection techniques can be in static form or dynamically identify malware present inside network communications that affect the performance of systems. The malware detection is the field of network security where different techniques for detecting malicious software are used to protect a network from any harmful consequences. This paper presents a method for detecting malware using machine learning classi...","10.1007/978-981-99-0483-9_18","1","Network Security","","Stack Analysis; Active Learning; Static Analysis; Dynamic Analysis; Feature Engineering"
"Comparative Study of Static Analysis and Machine Learning Approaches for Detecting Android Banking Malware","Ahmed A.M.; Saeed M.A.; Hamood A.A.; Alazab A.A.; Ahmed K.A.","2023","Android currently dominates the smartphone market, accounting for an impressive market share of over 70%. However, because of its widespread acceptance, mobile operating systems have become a prime target for bad actors looking to profit from them. Particularly Android has been subjected to an increasing barrage of malware assaults, including the infamous Android Banking Trojans. This study investigates the effectiveness of static analysis in locating Android banking malware in order to counter ...","10.1109/eSmarTA59349.2023.10293602","0","Deep Learning Techniques","","Stack Analysis; Static Analysis; IRC Analysis; Pruning Techniques; Taint Analysis"
"Enhancing Mac OS Malware Detection through Machine Learning and Mach-O File Analysis","Thaeler A.; Yigit Y.; Maglaras L.; Buchanan W.J.; Moradpoor N.; Russell G.","2023","Malware research has predominantly focused on Windows and Android Operating Systems (OS), leaving Mac OS malware relatively unexplored. This paper addresses the growing threat of Mac OS malware by leveraging Machine Learning (ML) techniques. We propose a novel system for Mac malware detection that extends beyond traditional executables to include various Mach-O (Mach Object) file types. Our research encompasses feature selection, data sets, and the implementation of ML classifiers. We meticulous...","10.1109/CAMAD59638.2023.10478430","0","Machine Learning Domain","","Adware Analysis; Worm Analysis"
"Feature-Based Semi-Supervised Learning Approach to Android Malware Detection †","Memon M.; Unar A.A.; Ahmed S.S.; Daudpoto G.H.; Jaffari R.","2023","The development of signature-based methods or Machine Learning (ML) techniques on static data has dominated automated malware detection on android platforms. However, these techniques may not detect dangerous activities that only manifest during runtime. Furthermore, there is already a significant volume of unlabeled malware data available, making the production of datasets through supervised ML approach of manual labelling expensive. For anti-virus researchers, the process of malware developmen...","10.3390/engproc2023032006","5","","","Stack Analysis; Active Learning; Semi-Supervised Learning; Static Analysis; IRC Analysis"
"Static Analysis for Malware Classification Using Machine and Deep Learning","Salas M.I.P.; De Geus P.","2023","Malware, or malicious software, is a general term to describe any program or code that can be harmful to systems. This hostile, intrusive, and intentionally harmful code makes use of a variety of techniques to protect and evade detection and removal through code obfuscation, polymorphism, metamorphism, encryption, encrypted communication, and more. Current state-of-the-art research focuses on the application of artificial intelligence techniques for the detection and classification of malware. I...","10.1109/CLEI60451.2023.10346179","0","","","Malware Classification; Stack Analysis; Static Analysis; Logistic Regression; Hyperparameter Optimization"
"KTSDroid: A Framework for Android Malware Categorization Using the Kernel Task Structure","Khalid S.; Imran K.; Hussain F.B.","2023","The penetration of malicious applications in the Android market has enhanced the significance of designing malware mitigation systems for Android. Malware detection systems are being developed by examining applications using static and dynamic analysis techniques. The use of code obfuscation has highlighted the importance of dynamic analysis as many static analysis schemes can be evaded by code obfuscation strategies. In order to record the true working of the application, a volatile memory-base...","10.1155/2023/7827823","0","","","Static Analysis; Dynamic Analysis; Deobfuscation"
"IoT malware classification based on reinterpreted function-call graphs","Wu C.-Y.; Ban T.; Cheng S.-M.; Takahashi T.; Inoue D.","2023","Various malware and cyberattacks have arisen along with the proliferation of IoT devices. The evolving malware targeting IoT devices calls forth effective and efficient solutions to protect vulnerable IoT devices from being compromised. In this paper, we investigate the feasibility of a state-of-the-art graph embedding method, graph2vec, for performing family classification for IoT malware, with promising results reported. To further improve the generalization performance of the classifiers base...","10.1016/j.cose.2022.103060","18","","","Malware Classification; Stack Analysis; Static Analysis; Normalization; IRC Analysis"
"Malware Classification using Deep Learning Methods","Sundharakumar K.B.; Bhalaji N.; Prithvikiran","2023","With an increase in the fnumber of machines to the internet, the attack surface for cybercriminals has increased multifold, leading to increased risk and damage to the users. One such common attack is due to malicious software (malware) which compromises computers/smart devices, steals confidential information, penetrates networks, and cripples critical infrastructures, etc. The entire cost of malware attacks are projected to be the 3 trillion in 2015 and it is anticipated to rise above 6 trilli...","10.1109/ICSMDI57622.2023.00058","5","","","Malware Classification; Dynamic Analysis; Feature Engineering"
"Towards a Longitudinal Comparison Between Different Strategies for Android Malware Detection","Mesbah A.; Baddari I.; Riahla M.A.","2023","The growing popularity of the Android platform makes it a target of malware authors. The effective identification of such malware is an ongoing challenge. Several methods using machine learning have been proposed to prevent this threat. These methods are usually conventionally evaluated without considering the extent of performance over time. Given the evolving nature of both malware and benign apps, conventional evaluation may lack information. To imitate reality, this study compares the longit...","10.1109/ICTAACS60400.2023.10449650","0","","","Stack Analysis; Active Learning; Static Analysis; IRC Analysis; Taint Analysis"
"Automated Static Malware Analysis Using Machine Learning","Balodi B.; Sharma S.; Shukla A.K.; Singh B.","2023","Malware analysis has always been one of the crucial and tedious tasks in the field of cyber security to prevent any abnormality in cyberspace. In the world of the internet with an increase in the number of internet users every day, data is being transferred from place to place in the form of tiles or packets, and malware has also transformed into a lot of categories. Researchers have come up with various techniques to deal with malware and a lot of tools have been developed for the task. Through...","10.1109/SPIN57001.2023.10116580","3","","","Stack Analysis; Adware Analysis; Static Analysis; Worm Analysis; IRC Analysis"
"Building an APK Malware Detection System Using Static Analysis Method with MobSF Framework","Ramadhan B.; Mantoro T.; Ayu M.A.; Aditiawarman U.","2023","In the tumultuous era of digitalization driven by the rapid advancement of information technology, human interaction with the surrounding environment has undergone a significant transformation. This paper addresses the cybersecurity challenges faced by Android smartphone users in Indonesia, particularly concerning Malware attacks. Through static analysis utilizing the MobSF framework, the research reveals that the investigated Malware is a type of Trojan capable of monitoring and stealing SMS an...","10.1109/ICTECA60133.2023.10490956","0","","","Stack Analysis; Static Analysis; IRC Analysis; Taint Analysis"
"Machine Learning Approaches for Analysing Static features in Android Malware Detection","Sharma N.; Sangal A.L.","2023","As the number of people who own and use smart-phones grows, attackers are always looking for ways to steal sensitive information from mobile phones. Researchers are always working on making it easier to find android malware so that information can be hidden and kept safe. Since the number of new malware is going up, techniques based on machine learning are the best way to find them on a large scale.CICInvesAndMal2019 included in this paper uses android permissions and intent as a dataset and a s...","10.1109/ICSCCC58608.2023.10176445","4","","","Active Learning; Principal Component Analysis"
"Windows malware detection based on static analysis with multiple features","Yousuf M.I.; Anwer I.; Riasat A.; Zia K.T.; Kim S.","2023","Malware or malicious software is an intrusive software that infects or performs harmful activities on a computer under attack. Malware has been a threat to individuals and organizations since the dawn of computers and the research community has been struggling to develop efficient methods to detect malware. In this work, we present a static malware detection system to detect Portable Executable (PE) malware in Windows environment and classify them as benign or malware with high accuracy. First, ...","10.7717/PEERJ-CS.1319","8","Deep Learning Techniques","","Static Analysis; Gradient Boosting; K-Nearest Neighbors; IRC Analysis; Principal Component Analysis"
"VMCTE: Visualization-Based Malware Classification Using Transfer and Ensemble Learning","Chen Z.; Cao J.","2023","The Corona Virus Disease 2019 (COVID-19) effect has made telecommuting and remote learning the norm. The growing number of Internet-connected devices provides cyber attackers with more attack vectors. The development of malware by criminals also incorporates a number of sophisticated obfuscation techniques, making it difficult to classify and detect malware using conventional approaches. Therefore, this paper proposes a novel visualization-based malware classification system using transfer and e...","10.32604/cmc.2023.038639","4","","","Malware Classification; Static Analysis; Convolutional Neural Networks; Transfer Learning; Reverse Engineering"
"Static Method to Locate Risky Features in Android Applications","Khullar V.; Gera T.; Mehta T.","2023","Over the past many years, there's been an exponential development in the number of Android phone users across the world. Allowing for the exchange of real-time data and information that may revolutionize people's lives. However, this provided an edge to hackers as well. They distribute thousands of malware apps to steal people's data and make money. They employ reverse engineering to launch their harmful programs at the victim. Android application developers make every effort to avoid copying. B...","10.1109/DELCON57910.2023.10127577","4","Tool Development; API Development","","Static Analysis; Reverse Engineering"
