"Category","Term","Most_Cited_Paper_Title","Most_Cited_Paper_Link","Most_Cited_Paper_Year","Most_Cited_Paper_Abstract","Most_Cited_Paper_Authors","Citations"
"Domain","Election System Security","BTMD: A framework of binary translation based malcode detector","10.1109/CyberC.2012.16","2012","Binary Translation technology is used to convert binary code of one Instruction Set Architecture (ISA) into another. This technology can solve the software-inheritance problem and ISA-compatibility between different computers architecture. In this paper, we describe BTMD (Binary Translation based Malcode Detector), a novel framework that exploits static and dynamic binary translation features to detect broad spectrum malware and prevent its execution. By operating directly on binary code with MD Rules on the availability of source code, BTMD is appropriate for translating low-level binary code to high-level proper representation, obtaining CFG (Control Flow Graph) and other high-level Control Structure by MD Parser. Then Critical API Graph based on CFG is generated to do sub graph matching with the defined Malware Behavior Template. MD Engine in BTMD is called to undertake the process to take on the remaining code analysis. Compared with other detection approaches, BTMD is found to be very efficient in terms of detection capability and false alarm rate. © 2012 IEEE.","Shan Z.; Guo H.; Pang J.","7"
"Domain","Container Security","Implementing a Method for Docker Image Security; [Docker Görüntü Güvenli?ine Yönelik Bir Yöntem Uygulamas]","10.1109/ISCTURKEY53027.2021.9654383","2021","Containers that can be easily created, transported and scaled with the use of container-based virtualization technologies work better than classical virtualization technologies and provide efficient resource usage. The Docker platform is one of the most widely used solutions among container-based virtualization technologies. The OS-level virtualization of the Docker platform and the container's use of the host operating system kernel may cause security problems. In this study, a method including static and dynamic analysis has been proposed to ensure Docker image and container security. In the static analysis phase of the method, the packages of the images are scanned for vulnerabilities and malware. In the dynamic analysis phase, Docker containers are run for a certain period of time, after the open port scanning, network traffic is analyzed with the Snort3. Seven Docker images are analyzed and the results are shared.  © 2021 IEEE.","Sengul O.; Ozkilicaslan H.; Arda E.; Yavanoglu U.; Dogru I.A.; Selcuk A.A.","7"
"Domain","Version Control","AI-enhanced Defense Against Ransomware Within the Organization’s Architecture","10.13052/jcsm2245-1439.1146","2022","Ransomware is a type of revenue-generating tactic that cybercriminals utilize to improve their income. Businesses have spent billions of dollars recovering control of their resources, which may include confidential data, operational applications and models, financial transactions, and other information, as a result of malicious software. Ransomware can infiltrate a resource or device and restrict the owner from accessing or utilizing it. There are various obstacles that a business must overcome in order to avoid ransomware attacks. Traditional ransomware detection systems employ a static detection method in which a finite dataset is provided into the system and a logical check is performed to prevent ransomware attacks against the system. This was effective in the early stages of the internet, but the scenario of recent times is far more advanced, and as more and more cyber world contrivances have been analyzed, multiple gaps have been identified, to the benefit of ransomware attackers, who use these gaps to generate astronomically large sums of money. As a result, the suggested methodology aims to efficiently detect diverse patterns associated with various file formats by starting with their sources, data collecting, probabilistic identification of target devices, and deep learning classifier with intelligent detection. An organization can use the recommended approach to safeguard its data and prepare for future ransomware attacks by using it as a roadmap to lead them through their security efforts. © 2022 River Publishers.","Chaithanya B.N.; Brahmananda S.H.","6"
"Domain","Code Signing Domain","Feature Extraction Approach to Unearth Domain Generating Algorithms (DGAs)","10.1109/DASC-PICom-CBDCom-CyberSciTech49142.2020.00077","2020","Domain name plays a crucial role today, a technique was developed to algorithmically generate do-main names (AGD) with the idea to solve the problem of designing domain names manually. Attackers deploy highly sophisticated tactics to compromise end-user systems to gain control as a target for malware to spread, as they are immune to static prevention methods like blacklisting and sinkholing. There have been multiple attempts to prevent them using lexical feature analysis, domain query responses, and some of these techniques have been really efficient as well. In this paper we propose a framework to detect Domain Generating Algorithms (DGAs) even in real network traffic, using features studied from legitimate domain names in static and real traffic, by considering feature extraction as the key of the framework we propose. The detection process consists of detection, prediction and classification attaining a maximum accuracy of 99%. © 2020 IEEE.","Upadhyay S.; Ghorbani A.","6"
"Domain","Cost Optimization","Optimized Deep Learning Technique for the Effective Detection of Windows PE Malware","10.1007/978-3-031-73494-6_27","2025","This study examines the effects of several hyper-parameters, such as the number of epochs, batch size, number of layers and neurons, optimization technique, dropout rate, type of activation function, and learning rate, on deep learning-based static malware detection. To determine the ideal hyper-parameters for our deep learning model, we used the inception approach. Our research shows that convolutional neural networks with inception are more effective than other techniques, and that the correctness of the model is greatly influenced by the choice of hyper-parameter values. In particular, our method causes the neural network model’s accuracy for static malware detection on the Ember dataset to significantly increase (from 84.19% to 90.78%). These findings support the efficacy of our suggested methodology and have significant ramifications for the static malware detection community. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Ganapathiyappan K.; Yadav A.","5"
"Domain","Performance Measurement","AASH: A Lightweight and Efficient Static IoT Malware Detection Technique at Source Code Level","10.1109/ACCC58361.2022.00010","2022","IoT malware applications significantly threaten user privacy and security. Traditionally, IoT developers have focused primarily on hardware, but connectivity requires additional embedded software, usually developed by third-party developers. Unfortunately, third-party code is not always secure and trustworthy, and it frequently contains bugs and malicious code, which leaves IoT devices vulnerable. We propose the AASH technique (IoT Malware Detection) a novel technique that can detect malware at the source code level using the Adler-32 hash function and Fibonacci search. Previously, DROIDMD technique and SQVDT technique have been proposed to detect malware on Android and Linux devices. According to the authors, their schemes are scalable and can be deployed on IoT devices. However, their technique suffers from lower accuracy and takes longer to detect malicious code. The performance measurement shows that our proposed AASH technique is comparatively better than DROIDMD and SQVDT techniques in terms of accuracy and malware detection. AASH is reliable, efficient, and can be deployed on a large-scale level. © 2022 IEEE.","Glani Y.; Ping L.; Shah S.A.","5"
"Domain","Firmware Security Domain","Inter-IP Malicious Modification Detection through Static Information Flow Tracking","10.23919/DATE54114.2022.9774694","2022","To help expand the usage of formal methods in the hardware security domain. We propose a static register-transfer level (RTL) security analysis framework and an electronic design automation (EDA) tool named If-Tracker to support the proposed framework. Through this framework, a data-flow model will be automatically extracted from the RTL description of the SoC. Information flow security properties will then be generated. The tool checks all possible inter-IP paths to verify whether any property violations exist. The effectiveness of the proposed framework is demonstrated on customized SoC designs using AMBA bus where malicious modifications are inserted across multiple IPs. Existing IP level security analysis tools cannot detect such Trojans. Compared to commercial formal tools such as Cadence JasperGold and Synopsys VC-Formal, our framework provides a much simpler user interface and can identify more types of malicious modifications. © 2022 EDAA.","Liu Z.; Arias O.; Fu W.; Jin Y.; Guo X.","5"
"Domain","Vulnerability Static Scan","Dynamic Distributed Secure Storage against Ransomware","10.1109/TCSS.2019.2924650","2020","In just a few years, ransomware evolved into one of the most pernicious threats on the web. From hijacking private disks, the cybercriminals moved to disabling hospital networks, while the cyberwarriors launched destructive cyberwar exercises masquerading as ransomware. To match the variety of attacks, there is also a variety of promising proposals for the mitigation of the ransomware problem by disrupting the attack cycle at various points. None of them seems to be eliminating the vulnerability of static nodes in dynamic networks. We put forward the idea that ransomware is a symptom of a broader problem of architectural imbalance in social computation, while the processes are dynamic and nonlocal, the storage is static and local. We study and discuss some paths toward dynamic, nonlocal, and secure storage. Furthermore, we provide a toy method for locally encrypting the data that can provide a balance of high security and encryption speed.  © 2014 IEEE.","Castiglione J.; Pavlovic D.","5"
"Domain","Healthcare Security","AI driven IOMT security framework for advanced malware and ransomware detection in SDN","10.1186/s13677-025-00745-w","2025","An AI driven double-tier detection system, means this is a security framework that works in two layers to increase accuracy and reliability of threat identification, this is presented in this research. The system designs to tackle rising Software Defined Network (SDN) security threats especially in healthcare environment to the risk of malware, and ransomware attacks, is powered by Deep Learning (DL) and Machine Learning (ML) technologies to work together, as a static and dynamic scanning methods. Using this, execution traces and the Application Programming Interface (API) call sequences are integrated with Generative Adversarial Networks (GANs) and autoencoder based predictive analysis to improve the threat detection. This is a continuous training system that ensures medical data’s protection while maintaining compliance with health regulations and creates a secure operational environment. The double tier eXtreme Gradient Boosting (XGBoost) performance reaches 99.60% accuracy with an F1 score of 0.9966 and outperforming the benchmark model at 98.80% accuracy and F1 score 0.988. Further, a two-layer Light Gradient Boosting Machine (LightGBM) model achieves 99.32% accuracy with an F1 score of 0.9934, in contrast to which at 98.96% accuracy and an F1 score of 0.9895, beats its benchmark counterpart. Furthermore, the Deep Neural Network (DNN) system with bi layered also achieves 99.13% accuracy and F1 score of 0.9915. This study presents novel countermeasures for these SDN and healthcare security threats that warrant a breakthrough in the field of cybersecurity. The presented security model is agile and strong which offer real time network assessment and continue to detect emerging threats thus improving the protection of critical healthcare infrastructure. © The Author(s) 2025.","Almotiri S.H.","4"
"Domain","Cryptocurrency Wallet","An Empirical Analysis of Security and Privacy Risks in Android Cryptocurrency Wallet Apps","10.1007/978-3-031-33491-7_26","2023","A cryptocurrency wallet app is a piece of software that manages, stores, and generates private keys of cryptocurrency accounts. With the provision of services such as easy access to transaction history, and checking account balance besides transmissions of new transactions in distributed networks such as Blockchains, cryptocurrency wallet apps gain unprecedented popularity which in turn attracts malicious actors to attack users resulting in loss of cryptocurrency assets and leakage of sensitive user data. This paper presents the first large-scale study of Android cryptocurrency wallet apps. We surveyed apps on Google Play to detect and extract meta-data and application packages of 457 cryptocurrency wallet apps. We perform several passive and active measurements designed to investigate the security and privacy features to study the behavior of cryptocurrency wallet apps. Our analysis includes investigating cryptocurrency wallet apps’ third-party embedding, malware presences, and exfiltration of users’ sensitive data to third-parties. Our study reveals vulnerabilities and privacy issues in cryptocurrency apps including the insecure use of HTTP to serve transactions. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Sentana I.W.B.; Ikram M.; Kaafar M.A.","4"
"Domain","Mesh Network Malware","A Malware Classification Method Based on the Capsule Network","10.1007/978-3-030-62223-7_4","2020","Malware has become a serious threat to network security. Traditional static analysis methods usually cannot effectively detect packers, obfuscations, and variants. Dynamic analysis is not efficient when dealing with large amounts of malware. Aiming at the shortcomings of the existing methods, this paper proposes a method for analyzing malware based on the capsule network. It uses a supervised learning method to train the capsule network with a large number of malware samples with existing category labels. In the process of constructing features, this paper adopts a method of combining static features and dynamic features to extract the operation code information based on static analysis, and extract the API call sequence information based on general analysis. Both characteristics can well represent the structure and behavior of malware. Then use N-Gram to construct sequence features, visualize the N-Gram sequence, generate malware images, and finally use the capsule network for classification detection. In addition, this paper improves the original capsule network and verifies the effect of the improved model. © 2020, Springer Nature Switzerland AG.","Wang Z.; Han W.; Lu Y.; Xue J.","4"
"Domain","Firmware Analysis","FirmwareDroid: Towards Automated Static Analysis of Pre-Installed Android Apps","10.1109/MOBILSoft59058.2023.00009","2023","Supply chain attacks are an evolving threat to the IoT and mobile landscape. Recent malware findings have shown that even sizeable mobile phone vendors cannot defend their operating systems fully against pre-installed malware. Detecting and mitigating malware and software vulnerabilities on Android firmware is a challenging task requiring expertise in Android internals, such as customised firmware formats. Moreover, as users cannot choose what software is pre-installed on their devices, there is a fundamental lack of transparency and control. To make Android firmware analysis more accessible and regain some transparency, we present FirmwareDroid, a novel open-source security framework for Android firmware analysis that automates the extraction and analysis of pre-installed software.FirmwareDroid streamlines the process of software extraction from Android firmware for static security and privacy assessments. With FirmwareDroid, we lay the groundwork for researchers to automate the security assessment of Android firmware at scale, and we demonstrated the capabilities of FirmwareDroid by analysing 5,728 Android firmware samples from various vendors. We analysed 75,141 unique pre-installed Android applications to study how common advertising tracker libraries (a piece of software that collects user usage data) are used and which permissions pre-installed Android apps inherit. We conclude that 20.53% of all apps in our dataset include advertising trackers and that 88.14% of all used permissions are signature-based. © 2023 IEEE.","Sutter T.; Tellenbach B.","4"
"Domain","Publication and Dissemination","HTChecker: Detecting hardware trojans based on static characteristics","10.1109/ISCAS.2017.8050674","2017","Hardware Trojan detection, which is very important to the chip security, has drawn more and more attention in both academia and industry. In this paper, we propose a novel hardware Trojan detection scheme named HTChecker, which detects hardware Trojans with subgraph isomorphism based on static characteristics of Trojans. Unlike other schemes, HTChecker pay more attention to preventing the replication and dissemination of hardware Trojans. We evaluate the HTChecker with random mixtures of Trojans and circuits from ITC'99 benchmarks and OpenCores. Experiments show that HTChecker can detect Trojans quickly and accurately without Golden Chip and it can cope with actual VLSI designs with large scale efficiently. © 2017 IEEE.","Shen H.; Zhao Y.","4"
"Domain","Telecom Infrastructure","Enhanced detection of advanced malicious software","10.1109/UEMCON.2016.7777866","2016","Over the last year the number of polymorphic and metamorphic malware samples seen in the wild has grown exponentially. The development of signatures for defensive purposes simply cannot keep up with the pace of these new malware attacks. New and sophisticated malware have been able to bypass network protection infrastructures to deliver attacks on the intended target. The network defense apparatus which relies on signature-based detection finds itself practically useless and unable to protect networks, platforms and data. This paper describes a novel approach to detect polymorphic and metamorphic malware. Our approach uses a unique method of leveraging multidimensional topological data with advanced clustering techniques for network detection. The results of our initial research and a discussion of future research possibilities are also presented. © 2016 IEEE.","Fraley J.B.; Cannady J.","4"
"Domain","Resource Efficiency","A Neural Network Approach to a Grayscale Image-Based Multi-File Type Malware Detection System","10.3390/app132312888","2023","This study introduces an innovative all-in-one malware identification model that significantly enhances convenience and resource efficiency in classifying malware across diverse file types. Traditional malware identification methods involve the extraction of static and dynamic features, followed by comparisons with signature-based databases or machine learning-based classifiers. However, many malware detection applications that rely on transfer learning and image transformation suffer from excessive resource consumption. In recent years, transfer learning has emerged as a powerful tool for developing effective classifiers, leveraging pre-trained neural network models. In this research, we comprehensively explore various pre-trained network architectures, including compact and conventional networks, as well as series and directed acyclic graph configurations for malware classification. Our approach utilizes grayscale transform-based features as a standardized set of characteristics, streamlining malware classification across various file types. To ensure the robustness and generalization of our classification models, we integrate multiple datasets into the training process. Remarkably, we achieve an optimal model with 96% accuracy, while maintaining a modest 5 MB size using the SqueezeNet classifier. Overall, our model efficiently classifies malware across file types, reducing the computational load, which can be useful for cybersecurity professionals and organizations. © 2023 by the authors.","Copiaco A.; El Neel L.; Nazzal T.; Mukhtar H.; Obaid W.","3"
"Domain","Vulnerability Management","Theoretical Study of Security for a Software Product","10.1007/978-981-19-7660-5_20","2023","In the beginning, some of the most fundamental aspects of security, like confidentiality, integrity, and availability are presented. Then, the attacker’s key motivators are mentioned. In the following parts, the focus is on the ways of designing and developing a secure software product. So, from a design point of view, the secure software development life cycle and how a security management process should take place are described in multiple phases starting from security threat and risk analysis phase to security testing phase and malware scanning. To keep track of vulnerabilities that might appear in the future, especially for 3rd party products, a security vulnerability management process should be used. Finally, some of the most common vulnerabilities and ways to assure secure code are presented in the secure development chapter. Making source code security analysis by using static/dynamic/interactive application security testing tools with manual code reviews is some important factors in assuring secure software development. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Stanciu A.-M.","3"
"Domain","Trusted Platform Module","StaticTrust: A practical framework for trusted networked devices","10.1109/HICSS.2011.384","2011","Given the proliferation of malware and malicious activities, the integrity of communication systems is an ever growing concern. In this work, we propose StaticTrust, an integrity measurement framework which enables a system to evaluate the integrity and state of a remote client prior to providing trusted communication services. StaticTrust is designed for a specific class of network devices that have software images that change infrequently and require tight configuration control (e.g. routers, switches, trusted gateways, or high-low guards). StaticTrust exploits the relatively static nature of these communication systems and uses a Trusted Platform Module (TPM) to measure the state and provide identity verification for the device. This framework, coupled with the attestation and dynamic firewall exception services we authored, enables remote parties to confirm the integrity of clients, thereby limiting the effects and the proliferation of malware in a compromised system. We implement a prototype of the StaticTrust framework and measure the performance of our system to show that our design choices for constructing the software image result in efficient measurement and verification of system integrity. © 2011 IEEE.","Harris J.; Hill R.L.","3"
"Domain","Return on Investment","Malware Attacks: Dimensions, Impact, and Defenses","10.1007/978-3-030-90708-2_9","2022","Malware is a top threat to the current digital world. It will be more devastating in coming years due to the expansion of information technology in various fields of life, engagement of different type of users, and increased technical sophistication in malware. The changing motivations, multi-resource investment in malware development and Return on Investment (RoI) are the main reasons for the exponential growth in malware. Businesses and users are losing millions of dollars due to various malware attacks. Although there are different Anti-malware solutions and other security software, malware attacks are successful due to inherent limitations of these security products and common security vulnerabilities such as“zero-day”, “buffer-overflow”, etc. This book chapter provides a detailed study about malware, its propagation and attack mechanisms and discusses various anti-malware techniques (machine learning, bio-inspired algorithms etc.). It also presents possible research directions for developing tools and techniques for better protection against malware. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Kumar A.; Choi B.J.; Kuppusamy K.S.; Aghila G.","3"
"Domain","Aerospace Security","MateGraph: Toward Mobile Malware Detection Through Traffic Behavior Graph","10.1109/HPCC-DSS-SmartCity-DependSys57074.2022.00132","2022","As the number of interconnected mobile devices increases exponentially, mobile malware poses a severe threat to cyberspace security. Existing techniques utilize network traffic analysis effectively to identify and detect mobile malware. The majority of these solutions concentrate on the statistical features of malicious traffic or the information of key fields in the packet, but fail to take advantage of rich communication patterns throughout the entire network. In this paper, we present MateGraph, a traffic behavior graph-based approach to detect and classify mobile malware. The key insight of our research is that the communication patterns of a mobile application can be modeled as several traffic behavior graphs in Non-Euclidean space, and thus we can differentiate between malicious and benign applications by using graph convolution network models to learn graph topologies and representations. In MateGraph, we first construct a traffic behavior graph from a given chunk of network traffic within a time window, where a node of the graph is defined by a tuple of destination IP and port while an edge is established by the static and dynamic correlation between the nodes. Next, we present an enhanced graph convolution network for discovering the diverse pattern representations of benign and malicious traffic behavior graphs and achieving high detection performance and efficiency. We have conducted experiments on a publicly available dataset to evaluate MateGraph against several state-of-the-art methods, and the experimental results show that MateGraph has a better performance, the F1 score of which reached 96.57% and the accuracy increased by more than 7%.  © 2022 IEEE.","Ge R.; Zhang Y.; Si C.; Zhou G.; Zhou W.","3"
"Domain","User Feedback","Closing the Pandora's box: Defenses for thwarting epidemic outbreaks in mobile adhoc networks","10.1109/MASS.2012.6502518","2012","The openness of the Android operating system increased the number of applications developed, but it also introduced a new propagation vector for mobile malware. We model the propagation of mobile malware using epidemiology theory and study the problem as a function of the underlying mobility models. We define the optimal approach to heal an infected system with the help of a set of static healers that distribute patches, as the T-COVER problem and show that it is NP-HARD. We then propose two families of healer protocols that trade-off time recovery and energy consumed by sending patches. The first one uses randomization to ensure a small recovery time but may result in healers sending more patches than needed. The second one uses system feedback to optimize energy consumed by sending patches, but it may result in a larger recovery time. We show through simulations using the NS-3 simulator that despite lacking knowledge of the future, our protocols obtain a recovery time within a 10x bound of the oracle solution that knows the arrival time of the infected nodes. © 2012 IEEE.","Potharaju R.; Hoque E.; Nita-Rotaru C.; Sarkar S.; Venkatesh S.S.","2"
"Domain","Information Sharing","Context-aware embeddings for robust multiclass fraudulent URL detection in online social platforms","10.1016/j.compeleceng.2024.109494","2024","The current ubiquity of online social networks (OSNs) cannot be overstated, and they have over 4.8 billion users worldwide. These platforms have become integrated into modern life, representing an important means of communication and information sharing. However, this widespread popularity has also drawn the attention of cybercriminals, who seek to exploit OSNs using deceptive Uniform Resource Locators (URLs) as their weapons of choice. Conventional URL-classification methods, which rely on post-access features or static analysis, face significant limitations; they struggle to keep pace with the ever-evolving tactics of cybercriminals, and they often lack the granularity required for precise URL categorization. The methodology proposed herein takes a different path, leveraging the power of an artificial neural network (ANN) in tandem with Bidirectional Encoder Representations from Transformers (BERT) to extract contextual embeddings from URLs. By combining the cutting-edge capabilities of ANNs and BERT, we introduce an efficient approach to safeguarding OSN users from the insidious threats lurking behind deceptive URLs by classifying them into five distinct categories: benign, defacement, phishing, malware, and spam. The proposed approach was found to achieve an impressive accuracy rate of 98.0%, surpassing the previous best of 97.92%. This technique thus has the potential to serve as a crucial defense mechanism for the billions of individuals who rely on OSNs for their social and informational needs. © 2024 The Author(s)","Afzal S.; Asim M.; Beg M.O.; Baker T.; Awad A.I.; Shamim N.","2"
"Domain","Machine Learning Applications","A panoramic view of cyber attack detection and prevention using machine learning and deep learning approaches","10.1201/9781003119838-4","2021","A set of code or a software designed in such a way to cause damage to a computer, server, mobile phones, or computer network is known as malware. Malicious software is a malware that exploits the cyber world and causes huge losses. Cyber attacks are increasing day by day and have become a great threat to the digital world. A recent survey says that there will be a malware (Ransomware) attack every 11 seconds by 2021 and by that time, global costs will be around $20 billion yearly. And also, every year, Ransomware generates an estimated $1 billion in revenue for cybercriminals. Various types of malware may cause serious threats to the digital world. Largely, malware is identified using signatures of the previously attacked malware even when the attackers try to create new malware that doesn’t fall under this signature. In such a scenario, it is necessary to develop a malware detection and a prevention system. The existing machine learning applications to provide solutions to problems of cyber security had a substantial impact and hence, it’s critical to explore the novel deep learning approaches toward protecting the information in the field of cyber security. The deep learning approaches are currently used in a widespread manner for cyber security applications. This chapter aims to review the deep learning architectures suitable for malware detection and prevention for cyber security applications. The categories of malware based on the functionality and attack patterns are termed virus, Trojan, backdoor, adware, botnet, root kit, and dropper. This chapter’s objective is to understand the working of malware and to detect and eliminate it using machine learning and deep learning approaches. The classification of malware analysis falls under categories such as static analysis, dynamic analysis, code analysis, and memory analysis. Detection of malware based on windows operating system, Android Operating system, and Ransomware is studied and its future direction is analyzed. To prevent this type of malware, traditional Machine Learning (ML)-based classification algorithms such a Support Vector Machine (SVM), Random Forest (RF), Naive Bayes (NB), Decision Tree (DT), Logistic regression (LR), and AdaBoost can be used to efficiently detect the malware. Feature extraction is an important feature that requires prior knowledge of the application and hence neural network-based machine learning techniques are utilized that improves the performance of the classifiers used. These soft computing techniques can be utilized when the features are known in advance and these features are not changed frequently so that the classifications can be more accurate. But when the features cannot be predicted due to insufficient domain knowledge and also the data are too large to analyze, then the deep learning approaches become critical. As the initial level of deep learning architecture Multilayer perceptron (MLP), the neural network can be incorporated when the features for an application are known and can be categorized for analysis. The time-series data utilize long short-term memory (LSTM) and Gated Recurrent Unit (GRU) for improved classification accuracy. © 2022 Taylor & Francis Group, LLC.","Daniel E.; Susila N.; Durga S.","2"
"Domain","Peer Review","Reflections on Trusting Docker: Invisible Malware in Continuous Integration Systems","","2023","Continuous integration (CI) is a widely adopted methodology for supporting software development. It provides automated generation of artifacts (e.g., binaries, container images) which are then deployed in production. However, to which extent should you trust the generated artifacts even if the source code is clean of malicious code? Revisiting the famous compiler backdoor from Ken Thompson, we show that a container-based CI system can be compromised without leaving any trace in the source code. Therefore, detecting such malware is challenging or even impossible with common practices such as peer review or static code analysis. We detail multiple ways to do the initial infection process. Then, we show how to persist during CI system updates, allowing long-term compromise. We detail possible malicious attack payloads such as sensitive data extraction or backdooring production software. We show that infected CI systems can be remotely controlled using covert channels to update attack payload or adapt malware to mitigation strategies. Finally, we propose a proof of concept implementation tested on GitLab CI and applicable to major CI providers. © 2023 17th IEEE Workshop on Offensive Technologies, WOOT 2023, co-located with IEEE S and P 2023. All Rights Reserved.","Moriconi F.; Neergaard A.I.; Georget L.; Aubertin S.; Francillon A.","2"
"Domain","MITRE ATT&CK Framework","Real Time Multistage Attack Detection Leveraging Machine Learning and MITRE Framework","10.1109/SMART55829.2022.10047248","2022","Organizations regardless of their size are rapidly transforming, adopting and embracing digitalization amid the COVID pandemic. The pandemic forced organizations to ratio- nalize offline operations and swift towards online operations. Many organizations have digitized their services and have witnessed increasing Multistage cyber-attacks. Further, a lot of organizations have enabled remote access to the enterprise resources and services. As a result, organizations are striving to defend against Multistage cyber-attacks. These multistage attacks often spread across many stages, which is best described by MITRE Adversarial Tactics, Techniques, and Common Knowl- edge (ATT&CK) Framework. There are many research efforts for static detection of malicious binaries but very few or limited research targeting run-time detection of malicious processes in the system. Detection of these malicious processes are key for identifying new variants of multistage attacks or malware in the real world. This paper proposes a system for detecting multistage attacks in real-time or run-time by leveraging Machine learning and MITRE ATT&CK Framework. Machine learning facilitates detecting the malicious process in the system, and the MITRE ATT&CK framework offers insight into adversary techniques. Combination of these two is very effective in detecting multistage attacks and identifying individual stages. The proposed system shows promising results when tested on real-time/latest malware. Test result shows that our system can achieve 95.83% of accuracy. This paper discusses the challenges in detection of runtime malware, dataset generation © 2022 IEEE.","Takey Y.S.; Tatikayala S.G.; Patil M.U.; Lakshmi Eswari P.R.; Samavedam S.S.","2"
"Domain","Cryptominer Detection","MineDetector: JavaScript Browser-side Cryptomining Detection using Static Methods","10.1109/CSE53436.2021.00022","2021","Because of the rise of the Monroe coin, many JavaScript files with embedded malicious code are used to mine cryptocurrency using the computing power of the browser client. This kind of script does not have any obvious behaviors when it is running, so it is difficult for common users to witness them easily. This feature could lead the browser side cryptocurrency mining abused without the user's permission. Traditional browser security strategies focus on information disclosure and malicious code execution, but not suitable for such scenes. Thus, we present a novel detection method named MineDetector using a machine learning algorithm and static features for automatically detecting browser-side cryptojacking scripts on the websites. MineDetector extracts five static feature groups available from the abstract syntax tree and text of codes and combines them using the machine learning method to build a powerful cryptojacking classifier. In the real experiment, MineDetector achieves the accuracy of 99.41% and the recall of 93.55% and has better performance in time comparing with present dynamic methods. We also made our work user-friendly by developing a browser extension that is click-to-run on the Chrome browser.  © 2021 IEEE.","Wang P.; Sun Y.; Huang C.; Du Y.; Liang G.; Long G.","2"
"Domain","Runtime Library Detection","Identifying runtime libraries in statically linked linux binaries","10.1016/j.future.2024.107602","2025","Vulnerabilities in unpatched applications can originate from third-party dependencies in statically linked applications, as they must be relinked each time to take advantage of libraries that have been updated to fix any vulnerability. Despite this, malware binaries are often statically linked to ensure they run on target platforms and to complicate malware analysis. In this sense, identification of libraries in malware analysis becomes crucial to help filter out those library functions and focus on malware function analysis. In this paper, we introduce MANTILLA, a system for identifying runtime libraries in statically linked Linux-based binaries. Our system is based on radare2 to identify functions and extract their features (independent of the underlying architecture of the binary) through static binary analysis and on the K-nearest neighbors supervised machine learning model and a majority rule to predict final values. MANTILLA is evaluated on a dataset consisting of binaries built for different architectures (MIPSeb, ARMel, Intel x86, and Intel x86-64) and different runtime libraries (uClibc, glibc, and musl), achieving very high accuracy. We also evaluate it in two case studies. First, using a dataset of binary files belonging to the binutils collection and second, using an IoT malware dataset. In both cases, good accuracy results are obtained both in terms of runtime library detection (94.4% and 95.5%, respectively) and architecture identification (100% and 98.6%, respectively). © 2024 The Authors","Carrillo-Mondéjar J.; Rodríguez R.J.","1"
"Domain","Supply Chain Security","An Analysis of Malicious Behaviors of Open-Source Packages Using Dynamic Analysis","10.1007/978-3-031-76273-4_8","2025","There has been an increasing number of malicious open-source packages in recent years. A recent backdoor attack on the Linux xz utility has highlighted the importance of security checks on open-source packages, especially popular ones. While major security scanners focus on identifying vulnerabilities (CVEs) in open-source packages, there are very few studies on malware analysis techniques for them. Similar to traditional malware analysis, there are two types of analysis for open-source packages: static and dynamic analysis. Static analysis techniques mainly focus on analyzing the source code of a package while dynamic analysis techniques execute the code in an isolated environment. Dynamic analysis techniques seem more promising than static analysis techniques, as they can expose packages’ behaviors at runtime. However, current dynamic analysis tools (e.g., package-analysis) make minimal effort to provide insight into the behaviors of open-source packages. In this paper, we attempt to analyze the dynamic behaviors of open-source packages on popular package repositories, including npm, PyPI, RubyGems, Packagist, and crates.io. We also analyze the discrepancies in behaviors between benign and malicious packages at runtime, which is helpful in building rules for malware detection. Our study finds that malicious packages perform a significantly higher number of domain communications and command executions. Malicious packages use simple techniques for malicious operations such as base64 or curl. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Nguyen T.-C.; Vu D.-L.; C. Debnath N.","1"
"Domain","Real-Time Processing","Optimizing Malware Detection and Classification in Real-Time Using Hybrid Deep Learning Approaches","10.18280/ijsse.150115","2025","Malware detection and classification are critical for ensuring system security in real-time applications. Conventional approaches may not be optimized to combine precise results with low time consumption and become a problem when it comes to processing large volumes of different malware samples in a real-time setting. The general framework for this paper is to introduce a new detection and classification method that uses deep learning (DL) models to detect and classify malware. We developed and tested two models: the static convolutional neural network-long short-term memory (CNN-LSTM) model and the dynamic CNN 1D-LSTM model in this work. The models achieved an accurate rate of 99%. Static-CNN-LSTM was able to classify the malware based on static analysis. At the same time, the proposed dynamic (1D-CNN-LSTM) model got the best results, with a 100% success rate, by gathering behavioral data. This means that it can accurately classify even new and complicated dynamic malicious program variants. Therefore, this study's results show that using a hybrid approach raises the rate of detection while also meeting the real-time processing needs of systems with a lot at stake that need to perform well. Our approach represents a substantial improvement in malware detection, delivering a more efficient and versatile response to contemporary cyber threats. ©2025 The authors.","Alsumaidaee Y.A.M.; Yahya M.M.; Yaseen A.H.","1"
